mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__max_features,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.8441399097442627,0.1649866081293464,0.4355474472045898,0.04270332109370736,,sqrt,100,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 100}",0.7169811320754716,0.6095238095238096,0.7889908256880734,0.7818181818181819,0.7155963302752294,0.7225820558761532,0.06446918814815672,24
1.331430149078369,0.027981463855304367,0.4503818988800049,0.08380935592607074,,sqrt,200,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 200}",0.7037037037037037,0.5981308411214953,0.7818181818181819,0.8037383177570093,0.7222222222222222,0.7219226533245224,0.07202459290462392,26
1.5818515777587892,0.10758819118171495,0.3934609889984131,0.06985622411933909,,sqrt,300,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 300}",0.7037037037037037,0.5981308411214953,0.7818181818181819,0.8037383177570093,0.7289719626168224,0.7232726014034425,0.07208078958540777,22
0.7998517036437989,0.17228093891441515,0.36151881217956544,0.09449130825760459,,log2,100,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__n_estimators': 100}",0.7169811320754716,0.6095238095238096,0.7889908256880734,0.7818181818181819,0.7155963302752294,0.7225820558761532,0.06446918814815672,24
1.0780882358551025,0.14057947424725026,0.3775827884674072,0.0635361199511381,,log2,200,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__n_estimators': 200}",0.7037037037037037,0.5981308411214953,0.7818181818181819,0.8037383177570093,0.7222222222222222,0.7219226533245224,0.07202459290462392,26
1.3214191913604736,0.09628303349504047,0.27229037284851076,0.07611345927412973,,log2,300,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__n_estimators': 300}",0.7037037037037037,0.5981308411214953,0.7818181818181819,0.8037383177570093,0.7289719626168224,0.7232726014034425,0.07208078958540777,22
0.6271655082702636,0.09867137952658983,0.19602952003479004,0.10663445015980791,,,100,"{'classifier__max_depth': None, 'classifier__max_features': None, 'classifier__n_estimators': 100}",0.7307692307692307,0.6213592233009708,0.75,0.7924528301886793,0.7619047619047619,0.7312972092327286,0.05850344630797886,21
0.9435370922088623,0.1107230325297427,0.29904518127441404,0.07996578999735246,,,200,"{'classifier__max_depth': None, 'classifier__max_features': None, 'classifier__n_estimators': 200}",0.7238095238095238,0.6153846153846154,0.7636363636363637,0.8037383177570093,0.7619047619047619,0.7336947164984549,0.06433259210149786,19
1.5561936855316163,0.23157066665507975,0.25106201171875,0.04932711424281854,,,300,"{'classifier__max_depth': None, 'classifier__max_features': None, 'classifier__n_estimators': 300}",0.7238095238095238,0.6153846153846154,0.7567567567567568,0.8037383177570093,0.7692307692307693,0.7337839965877349,0.0644914444361874,18
0.5917197704315186,0.07777348379694705,0.25717997550964355,0.06819056681869198,5,sqrt,100,"{'classifier__max_depth': 5, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 100}",0.74,0.6451612903225806,0.8076923076923077,0.7843137254901961,0.7524752475247525,0.7459285142059674,0.05571396779652372,1
1.1039250850677491,0.13264084693108144,0.2901936054229736,0.03527205236576207,5,sqrt,200,"{'classifier__max_depth': 5, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 200}",0.74,0.6451612903225806,0.7884615384615384,0.7843137254901961,0.76,0.7435873108548631,0.05223459358377429,6
1.3146703720092774,0.1838094287827663,0.2709353923797607,0.09997704064488631,5,sqrt,300,"{'classifier__max_depth': 5, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 300}",0.7326732673267327,0.6451612903225806,0.780952380952381,0.7843137254901961,0.74,0.7366201328183781,0.050262805585453985,12
0.6170316219329834,0.1101914488972252,0.2286994457244873,0.03423466840474766,5,log2,100,"{'classifier__max_depth': 5, 'classifier__max_features': 'log2', 'classifier__n_estimators': 100}",0.74,0.6451612903225806,0.8076923076923077,0.7843137254901961,0.7524752475247525,0.7459285142059674,0.05571396779652372,1
0.973006010055542,0.10041742981974432,0.33911967277526855,0.10276671385749701,5,log2,200,"{'classifier__max_depth': 5, 'classifier__max_features': 'log2', 'classifier__n_estimators': 200}",0.74,0.6451612903225806,0.7884615384615384,0.7843137254901961,0.76,0.7435873108548631,0.05223459358377429,6
1.435226058959961,0.22035915250212182,0.4269381523132324,0.15034884760791822,5,log2,300,"{'classifier__max_depth': 5, 'classifier__max_features': 'log2', 'classifier__n_estimators': 300}",0.7326732673267327,0.6451612903225806,0.780952380952381,0.7843137254901961,0.74,0.7366201328183781,0.050262805585453985,12
0.5536490440368652,0.06539447943702174,0.19987921714782714,0.06843179816343893,5,,100,"{'classifier__max_depth': 5, 'classifier__max_features': None, 'classifier__n_estimators': 100}",0.7474747474747475,0.6153846153846154,0.7663551401869159,0.7789473684210526,0.75,0.7316323742934662,0.0592389585560473,20
1.0950639247894287,0.19819955811760548,0.27269597053527833,0.034468527348449775,5,,200,"{'classifier__max_depth': 5, 'classifier__max_features': None, 'classifier__n_estimators': 200}",0.7474747474747475,0.6153846153846154,0.7850467289719626,0.7628865979381443,0.7628865979381443,0.7347358575415228,0.06086560683173011,17
1.2249407291412353,0.10991464021638628,0.24447293281555177,0.06336981981418484,5,,300,"{'classifier__max_depth': 5, 'classifier__max_features': None, 'classifier__n_estimators': 300}",0.7474747474747475,0.6153846153846154,0.780952380952381,0.7708333333333334,0.7628865979381443,0.7355063350166443,0.06104996170847928,16
0.7271814346313477,0.11690708855988795,0.1942061424255371,0.043142196357516746,10,sqrt,100,"{'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 100}",0.7254901960784313,0.6213592233009708,0.7962962962962963,0.7962962962962963,0.7547169811320755,0.7388317986208139,0.0645514993168745,10
1.0802565574645997,0.039761175932919016,0.30132598876953126,0.028898943999141207,10,sqrt,200,"{'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 200}",0.7115384615384616,0.62,0.7962962962962963,0.7924528301886793,0.7572815533980582,0.7355138282842991,0.0653125637953627,14
1.3362237930297851,0.06855853458889777,0.2612890720367432,0.014625502843986947,10,sqrt,300,"{'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 300}",0.7184466019417476,0.62,0.8037383177570093,0.8037383177570093,0.75,0.7391846474911532,0.06795052798952492,8
0.7325661659240723,0.10457910588484802,0.2529918670654297,0.03166290598040676,10,log2,100,"{'classifier__max_depth': 10, 'classifier__max_features': 'log2', 'classifier__n_estimators': 100}",0.7254901960784313,0.6213592233009708,0.7962962962962963,0.7962962962962963,0.7547169811320755,0.7388317986208139,0.0645514993168745,10
1.0233998775482178,0.025096965556454583,0.3470101833343506,0.03583633632344281,10,log2,200,"{'classifier__max_depth': 10, 'classifier__max_features': 'log2', 'classifier__n_estimators': 200}",0.7115384615384616,0.62,0.7962962962962963,0.7924528301886793,0.7572815533980582,0.7355138282842991,0.0653125637953627,14
1.298724889755249,0.09526785395374424,0.23872456550598145,0.036935417812480394,10,log2,300,"{'classifier__max_depth': 10, 'classifier__max_features': 'log2', 'classifier__n_estimators': 300}",0.7184466019417476,0.62,0.8037383177570093,0.8037383177570093,0.75,0.7391846474911532,0.06795052798952492,8
0.6421177864074707,0.03599214602710064,0.2846116542816162,0.025921498037041444,10,,100,"{'classifier__max_depth': 10, 'classifier__max_features': None, 'classifier__n_estimators': 100}",0.7378640776699029,0.6407766990291263,0.7706422018348624,0.8076923076923077,0.7647058823529411,0.744336233715828,0.0563691133199756,4
1.0799278736114502,0.10637953868406425,0.13940901756286622,0.03814323836031374,10,,200,"{'classifier__max_depth': 10, 'classifier__max_features': None, 'classifier__n_estimators': 200}",0.7378640776699029,0.62,0.7777777777777778,0.8076923076923077,0.7766990291262136,0.7440066384532404,0.06584910653770358,5
1.095597791671753,0.01364201773685082,0.082708740234375,0.00282011811029355,10,,300,"{'classifier__max_depth': 10, 'classifier__max_features': None, 'classifier__n_estimators': 300}",0.7378640776699029,0.62,0.7777777777777778,0.8155339805825242,0.7766990291262136,0.7455749730312837,0.0674218391887636,3
